zone,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Russia,"2188,84","2189,61","2016,97","1848,61","1629,10","1582,61","1564,50","1471,68","1454,71","1501,93","1521,45","1527,89","1510,98","1551,50","1549,70","1547,56","1608,77","1588,82","1603,38","1506,35","1609,46","1673,73","1653,11","1602,68","1584,35","1592,08","1571,54","1614,43","1725,37","1754,47"
Ukraine,"690,16","654,79","564,58","502,57","416,10","415,02","350,22","334,70","317,62","314,85","308,77","302,42","301,46","312,65","302,02","311,36","305,67","315,11","303,92","257,46","276,55","290,78","285,09","273,96","231,13","191,67","192,25","176,67","185,04","176,61"
Uzbekistan,"116,34","120,21","112,10","112,78","110,14","99,71","100,99","103,08","116,37","117,66","117,01","117,40","122,04","116,59","114,66","107,71","113,50","112,13","117,26","105,30","102,39","111,99","115,39","105,05","105,80","93,73","82,72","82,51","87,32","89,44"
America,"6154,45","6118,39","6227,13","6372,35","6521,82","6611,49","6856,20","7202,89","7290,78","7326,81","7552,75","7531,33","7393,57","7498,07","7633,04","7704,74","7627,07","7788,66","7651,01","7201,00","7546,10","7386,26","7264,31","7397,46","7461,23","7307,14","7178,78","7080,96","7187,03","7025,36"
North America,"5295,74","5236,00","5326,59","5450,07","5546,96","5610,52","5793,60","6076,37","6117,80","6162,54","6346,93","6319,44","6181,04","6260,15","6332,54","6359,67","6246,96","6364,71","6162,45","5743,00","5993,89","5798,39","5610,64","5723,15","5767,67","5624,48","5521,17","5455,32","5613,92","5489,65"
Canada,"429,73","422,77","435,47","435,14","451,60","460,99","476,16","492,81","497,67","508,97","529,62","523,42","530,09","551,46","544,68","556,39","549,18","580,90","559,72","532,40","548,34","560,72","562,04","570,89","574,29","577,60","567,00","564,67","572,39","569,33"
United States,"4866,01","4813,23","4891,13","5014,93","5095,36","5149,52","5317,44","5583,56","5620,12","5653,57","5817,31","5796,02","5650,95","5708,69","5787,86","5803,27","5697,77","5783,81","5602,73","5210,60","5445,56","5237,67","5048,60","5152,25","5193,38","5046,88","4954,17","4890,66","5041,53","4920,32"
Latin America,"858,71","882,39","900,53","922,28","974,86","1000,98","1062,61","1126,52","1172,99","1164,27","1205,82","1211,90","1212,52","1237,92","1300,49","1345,07","1380,11","1423,96","1488,56","1458,00","1552,21","1587,87","1653,67","1674,31","1693,56","1682,66","1657,61","1625,64","1573,11","1535,72"
Argentina,"101,13","105,64","108,95","108,25","116,09","120,21","126,85","132,17","136,01","139,65","139,48","129,66","122,92","132,62","147,69","150,16","160,09","166,64","178,13","171,09","174,55","181,79","188,69","183,94","187,36","193,20","193,60","186,49","172,96","170,74"
Brazil,"193,76","198,99","203,69","211,10","218,96","235,73","254,25","271,28","278,76","287,94","298,47","304,83","302,82","297,88","314,75","318,24","322,15","337,17","355,30","332,81","376,95","396,95","429,84","461,28","487,52","463,02","429,17","437,31","413,17","410,04"
