zone,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Italy,"17,71","22,05","21,81","21,67","22,14","18,88","20,97","20,34","20,25","21,73","20,81","22,03","19,65","18,54","20,25","18,21","18,17","17,01","19,98","25,14","26,57","28,06","31,48","39,31","43,74","38,99","37,91","35,74","40,35","40,51"
Netherlands,"1,12","1,26","1,29","1,43","1,57","1,73","2,13","2,33","2,56","2,89","3,32","3,52","4,14","4,09","5,24","7,45","8,15","7,21","8,86","9,53","9,39","10,81","12,09","11,91","11,27","12,40","12,83","14,87","15,96","17,36"
Poland,"2,47","2,59","2,77","2,72","2,83","2,82","2,82","2,79","3,19","3,15","2,99","3,21","3,05","2,55","3,12","3,46","3,26","3,78","4,64","6,11","7,27","8,30","10,67","10,71","12,82","14,12","13,98","14,43","12,91","15,82"
Portugal,"35,08","33,45","19,83","30,94","37,24","28,56","46,02","41,81","36,49","20,78","30,30","34,58","22,10","38,49","27,92","18,57","33,01","35,08","32,93","37,88","53,16","47,06","43,78","59,24","61,37","48,67","55,52","40,90","52,24","55,00"
Romania,"17,74","25,68","21,59","23,02","23,66","28,17","25,68","30,66","35,31","36,07","28,46","27,70","29,32","24,05","29,23","34,02","29,28","25,95","26,52","27,28","33,88","26,57","25,74","34,81","42,03","40,09","42,21","38,32","41,00","41,19"
Spain,"17,61","18,52","13,62","16,89","18,54","15,48","24,27","20,08","19,83","14,36","16,95","22,15","15,60","22,70","19,11","15,95","18,71","20,16","20,69","26,08","33,49","30,57","30,44","40,47","40,92","35,71","39,34","32,88","39,52","38,03"
Sweden,"51,18","44,46","52,51","53,11","43,17","47,60","38,42","48,29","49,20","48,28","57,26","51,57","48,51","43,41","44,97","51,32","49,65","52,06","54,35","58,46","55,33","55,99","59,10","54,07","55,87","63,30","57,21","57,89","55,67","58,71"
United Kingdom,"2,44","2,12","2,52","2,21","2,58","2,52","2,06","2,40","2,83","3,40","3,36","3,11","3,56","3,35","4,26","4,99","5,53","5,93","6,67","7,68","7,68","10,36","12,15","15,66","19,94","25,41","25,37","30,21","33,92","37,54"
Norway,"99,79","99,80","99,82","99,80","99,65","99,66","99,50","99,58","99,62","99,56","99,72","99,52","99,58","99,40","99,35","99,47","99,32","99,14","99,41","96,59","95,75","96,58","97,98","97,69","97,67","97,70","97,81","97,81","97,70","97,62"
Turkey,"40,37","37,85","39,63","46,18","39,22","41,57","42,94","38,91","38,33","29,98","24,94","19,84","26,25","25,29","30,73","24,54","25,25","19,03","17,35","19,58","26,38","25,33","27,23","28,82","20,89","31,96","32,89","29,34","32,07","44,18"
