Country,Product,Flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Belgium,Oil products,Total final consumption (ktoe),18164,19566,20161,17512,17366,18292,17884,19132,19329,16853,15303,15134,14285,14189,14964,16992,16647,17010,16362,16283,17568,18113,17719,19987,20278,21406,21405,21427,21262,21177,21588,20497,21348,21665,21730,20596,19802,21699,20106,20655,19445,19416,20195,20096,20511,20132,19425,19770
Belgium,Natural gas,Total final consumption (ktoe),3128,4018,4603,5373,5477,6006,6341,6661,7216,7080,6722,6179,6173,6592,6733,6248,6677,6459,6656,6820,7191,7397,7760,7917,8616,9653,9014,9386,9683,10145,10266,10404,10491,10812,10377,10819,10601,10540,9841,10986,9656,10017,10676,9201,9915,10238,10517,10546
Belgium,Nuclear,Total final consumption (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,Renewables and waste,Total final consumption (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,377,393,401,328,350,434,437,426,474,535,533,607,602,698,706,767,831,910,1069,1274,1663,1613,1757,1923,1855,1788,2063,2020,2068
Belgium,Electricity,Total final consumption (ktoe),2395,2673,2941,3117,2938,3229,3367,3540,3763,3727,3733,3715,3819,4003,4153,4241,4456,4650,4814,4986,5203,5381,5443,5713,5885,6008,6176,6359,6407,6667,6719,6745,6856,6931,6896,7103,7128,7110,6643,7163,6930,7026,7139,6979,7022,7072,7075,7116
Belgium,Heat,Total final consumption (ktoe),0,0,319,349,324,353,334,340,378,393,355,320,277,247,215,215,219,208,217,221,233,229,219,216,225,248,272,324,388,492,483,475,511,520,428,475,409,473,573,640,627,533,576,518,512,493,414,405
Belgium,Total,Total final consumption (ktoe),29237,31695,33733,32186,30756,32387,32332,34055,34828,32289,29871,29050,27907,28887,30194,31191,31332,31569,31836,32223,34113,34501,34090,37122,37926,40266,39891,40479,40716,41802,42747,40642,41826,42390,41720,41218,40209,42506,39437,42276,39269,39693,41751,39890,41084,41414,40830,41304
Canada,"Coal, peat and oil shale",Total final consumption (ktoe),5087,5029,5413,4957,4604,4675,4249,4360,4619,4327,3930,3662,3621,3999,4187,4003,3958,4160,3994,3211,3461,3431,3337,3243,3446,3431,3378,3358,3408,3611,3344,3261,3364,3641,3743,3954,3681,3427,2939,3195,3721,3481,3080,2914,2612,2505,2695,2707
Canada,"Crude, NGL and feedstocks",Total final consumption (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,Oil products,Total final consumption (ktoe),66737,71035,75652,78106,74367,75815,77421,79019,81217,79991,76080,66842,64237,64606,64573,64960,66830,69376,71003,65454,62820,64189,65696,68239,69069,71870,74407,73246,76590,76336,76003,80214,84698,88095,88299,88015,91228,89193,85096,89503,90940,92754,91436,89852,91249,92567,92315,95058
Canada,Natural gas,Total final consumption (ktoe),20795,23317,23730,26771,26374,29980,32418,31480,34520,36234,35691,36469,36122,38931,41430,39725,39686,42554,44099,43313,44129,45835,47834,49502,50761,53980,53443,49786,51350,53426,48783,51866,53112,52579,46699,44671,46312,45227,43139,42219,45993,44631,47162,48963,47889,46016,47705,51610
Canada,Nuclear,Total final consumption (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
